source,month,n
economist_tunisia_all,2005-11,4
economist_tunisia_all,2005-12,1
economist_tunisia_all,2006-04,2
economist_tunisia_all,2006-05,1
economist_tunisia_all,2006-06,2
economist_tunisia_all,2006-07,2
economist_tunisia_all,2006-08,1
economist_tunisia_all,2007-01,2
economist_tunisia_all,2007-02,2
economist_tunisia_all,2007-04,1
economist_tunisia_all,2007-05,1
economist_tunisia_all,2007-06,1
economist_tunisia_all,2007-07,2
economist_tunisia_all,2007-08,1
economist_tunisia_all,2007-09,2
economist_tunisia_all,2007-10,1
economist_tunisia_all,2007-11,1
economist_tunisia_all,2007-12,2
economist_tunisia_all,2008-02,5
economist_tunisia_all,2008-03,1
economist_tunisia_all,2008-04,1
economist_tunisia_all,2008-05,5
economist_tunisia_all,2008-06,2
economist_tunisia_all,2008-07,1
economist_tunisia_all,2008-08,3
economist_tunisia_all,2008-09,1
economist_tunisia_all,2008-10,1
economist_tunisia_all,2008-11,3
economist_tunisia_all,2008-12,1
economist_tunisia_all,2009-01,1
economist_tunisia_all,2009-02,2
economist_tunisia_all,2009-03,2
economist_tunisia_all,2009-04,1
economist_tunisia_all,2009-05,1
economist_tunisia_all,2009-08,1
economist_tunisia_all,2009-09,2
economist_tunisia_all,2009-10,2
economist_tunisia_all,2009-12,2
economist_tunisia_all,2010-02,3
economist_tunisia_all,2010-03,6
economist_tunisia_all,2010-04,2
economist_tunisia_all,2010-05,4
economist_tunisia_all,2010-06,1
economist_tunisia_all,2010-07,5
economist_tunisia_all,2010-08,3
economist_tunisia_all,2010-09,3
economist_tunisia_all,2010-10,1
economist_tunisia_all,2010-11,4
economist_tunisia_all,2010-12,2
economist_tunisia_all,2011-01,21
economist_tunisia_all,2011-02,28
economist_tunisia_all,2011-03,16
economist_tunisia_all,2011-04,9
economist_tunisia_all,2011-05,9
economist_tunisia_all,2011-06,4
economist_tunisia_all,2011-07,11
economist_tunisia_all,2011-08,5
economist_tunisia_all,2011-09,5
economist_tunisia_all,2011-10,6
economist_tunisia_all,2011-11,6
economist_tunisia_all,2011-12,2
economist_tunisia_all,2012-01,4
economist_tunisia_all,2012-02,4
economist_tunisia_all,2012-03,5
economist_tunisia_all,2012-04,4
economist_tunisia_all,2012-05,2
economist_tunisia_all,2012-06,5
economist_tunisia_all,2012-07,1
economist_tunisia_all,2012-08,1
economist_tunisia_all,2012-09,6
economist_tunisia_all,2012-10,3
economist_tunisia_all,2012-11,5
economist_tunisia_all,2012-12,5
economist_tunisia_all,2013-01,3
economist_tunisia_all,2013-02,4
economist_tunisia_all,2013-03,3
economist_tunisia_all,2013-04,3
economist_tunisia_all,2013-05,10
economist_tunisia_all,2013-06,9
economist_tunisia_all,2013-07,3
economist_tunisia_all,2013-08,2
economist_tunisia_all,2013-09,2
economist_tunisia_all,2013-10,6
economist_tunisia_all,2013-11,9
economist_tunisia_all,2013-12,5
economist_tunisia_all,2014-01,6
economist_tunisia_all,2014-02,2
economist_tunisia_all,2014-03,3
economist_tunisia_all,2014-04,1
economist_tunisia_all,2014-05,2
economist_tunisia_all,2014-06,3
economist_tunisia_all,2014-07,3
economist_tunisia_all,2014-08,1
economist_tunisia_all,2014-10,4
economist_tunisia_all,2014-11,5
economist_tunisia_all,2014-12,4
economist_tunisia_all,2015-01,4
economist_tunisia_all,2015-02,3
economist_tunisia_all,2015-03,3
economist_tunisia_all,2015-04,4
economist_tunisia_all,2015-05,1
economist_tunisia_all,2015-06,2
economist_tunisia_all,2015-07,4
economist_tunisia_all,2015-08,3
economist_tunisia_all,2015-09,2
economist_tunisia_all,2015-10,2
economist_tunisia_all,2015-11,7
economist_tunisia_all,2015-12,2
economist_tunisia_all,2016-01,2
economist_tunisia_all,2016-02,1
economist_tunisia_all,2016-04,1
economist_tunisia_all,2016-05,1
economist_tunisia_all,2016-08,2
economist_tunisia_all,2016-11,1
economist_tunisia_all,2016-12,2
economist_tunisia_all,2017-01,4
economist_tunisia_all,2017-04,1
economist_tunisia_all,2017-05,3
economist_tunisia_all,2017-06,1
economist_tunisia_all,2017-08,2
economist_tunisia_all,2017-12,1
economist_tunisia_all,2018-01,3
economist_tunisia_all,2018-02,2
economist_tunisia_all,2018-03,2
economist_tunisia_all,2018-05,1
economist_tunisia_all,2018-06,2
economist_tunisia_all,2018-07,2
economist_tunisia_all,2018-08,2
economist_tunisia_all,2018-10,1
economist_tunisia_all,2018-11,1
economist_tunisia_all,2018-12,2
economist_tunisia_all,2019-04,1
economist_tunisia_all,2019-05,1
economist_tunisia_all,2019-06,1
economist_tunisia_all,2019-07,2
economist_tunisia_all,2019-08,1
economist_tunisia_all,2019-09,2
economist_tunisia_all,2019-10,2
economist_tunisia_all,2019-12,1
economist_tunisia_all,2020-02,2
economist_tunisia_all,2020-05,3
economist_tunisia_all,2020-06,1
economist_tunisia_all,2020-07,2
economist_tunisia_all,2020-08,3
economist_tunisia_all,2020-09,1
economist_tunisia_all,2020-11,3
economist_tunisia_all,2020-12,4
economist_tunisia_all,2021-01,1
economist_tunisia_all,2021-02,1
economist_tunisia_all,2021-04,2
economist_tunisia_all,2021-05,4
economist_tunisia_all,2021-06,2
economist_tunisia_all,2021-07,2
economist_tunisia_all,2021-08,3
economist_tunisia_all,2021-09,2
economist_tunisia_all,2021-10,3
economist_tunisia_all,2021-11,3
economist_tunisia_all,2021-12,3
economist_tunisia_all,2022-01,6
economist_tunisia_all,2022-02,4
economist_tunisia_all,2022-03,1
economist_tunisia_all,2022-04,6
economist_tunisia_all,2022-06,2
economist_tunisia_all,2022-08,5
economist_tunisia_all,2022-09,4
economist_tunisia_all,2022-10,2
economist_tunisia_all,2022-11,3
economist_tunisia_all,2022-12,1
economist_tunisia_all,2023-01,1
economist_tunisia_all,2023-02,1
economist_tunisia_all,2023-03,5
economist_tunisia_all,2023-04,4
economist_tunisia_all,2023-05,6
economist_tunisia_all,2023-06,5
economist_tunisia_all,2023-07,1
economist_tunisia_all,2023-08,3
economist_tunisia_all,2023-09,2
economist_tunisia_all,2023-10,2
economist_tunisia_all,2023-11,7
economist_tunisia_all,2024-01,1
economist_tunisia_all,2024-02,2
economist_tunisia_all,2024-03,1
economist_tunisia_all,2024-04,1
economist_tunisia_all,2024-05,3
economist_tunisia_all,2024-07,3
economist_tunisia_all,2024-08,3
economist_tunisia_all,2024-09,3
economist_tunisia_all,2024-10,2
economist_tunisia_all,2024-11,6
economist_tunisia_all,2024-12,5
economist_tunisia_all,2025-01,2
economist_tunisia_all,2025-02,8
economist_tunisia_all,2025-03,4
economist_tunisia_all,2025-04,3
economist_tunisia_all,2025-05,5
economist_tunisia_all,2025-06,3
economist_tunisia_all,2025-07,7
economist_tunisia_all,2025-08,7
economist_tunisia_all,2025-09,10
economist_tunisia_all,2025-10,16
economist_tunisia_all,2025-11,7
economist_tunisia_all,2025-12,8
economist_tunisia_all,2026-01,21
economist_tunisia_all,2026-02,21
economist_tunisia_all,2026-03,17
economist_tunisia_all,2026-04,33
economist_tunisia_all,2026-05,29
economist_tunisia_all,2026-06,49
economist_tunisia_all,2026-07,77
economist_tunisia_all,2026-08,123
economist_tunisia_all,2026-09,90
economist_tunisia_economy,1997-04,1
economist_tunisia_economy,1997-06,1
economist_tunisia_economy,1997-09,1
economist_tunisia_economy,1997-10,2
economist_tunisia_economy,1998-01,1
economist_tunisia_economy,1998-06,1
economist_tunisia_economy,1998-07,1
economist_tunisia_economy,1998-10,1
economist_tunisia_economy,1999-03,1
economist_tunisia_economy,1999-06,1
economist_tunisia_economy,2000-03,1
economist_tunisia_economy,2000-04,2
economist_tunisia_economy,2000-05,1
economist_tunisia_economy,2000-11,1
economist_tunisia_economy,2001-02,1
economist_tunisia_economy,2001-06,2
economist_tunisia_economy,2001-08,1
economist_tunisia_economy,2002-06,1
economist_tunisia_economy,2002-07,1
economist_tunisia_economy,2002-09,1
economist_tunisia_economy,2002-10,1
economist_tunisia_economy,2003-08,2
economist_tunisia_economy,2003-10,1
economist_tunisia_economy,2004-03,1
economist_tunisia_economy,2004-05,1
economist_tunisia_economy,2004-06,1
economist_tunisia_economy,2004-07,1
economist_tunisia_economy,2004-08,1
economist_tunisia_economy,2004-10,1
economist_tunisia_economy,2005-08,1
economist_tunisia_economy,2005-11,1
economist_tunisia_economy,2005-12,1
economist_tunisia_economy,2006-04,2
economist_tunisia_economy,2006-05,1
economist_tunisia_economy,2006-06,2
economist_tunisia_economy,2006-07,1
economist_tunisia_economy,2006-08,1
economist_tunisia_economy,2007-01,2
economist_tunisia_economy,2007-02,1
economist_tunisia_economy,2007-05,1
economist_tunisia_economy,2007-06,1
economist_tunisia_economy,2007-07,1
economist_tunisia_economy,2007-09,2
economist_tunisia_economy,2007-10,1
economist_tunisia_economy,2007-11,1
economist_tunisia_economy,2008-02,3
economist_tunisia_economy,2008-04,1
economist_tunisia_economy,2008-05,2
economist_tunisia_economy,2008-06,1
economist_tunisia_economy,2008-08,1
economist_tunisia_economy,2008-10,1
economist_tunisia_economy,2008-11,2
economist_tunisia_economy,2008-12,1
economist_tunisia_economy,2009-02,2
economist_tunisia_economy,2009-03,2
economist_tunisia_economy,2009-04,1
economist_tunisia_economy,2009-05,1
economist_tunisia_economy,2009-08,1
economist_tunisia_economy,2009-09,2
economist_tunisia_economy,2009-10,1
economist_tunisia_economy,2009-12,2
economist_tunisia_economy,2010-02,1
economist_tunisia_economy,2010-03,6
economist_tunisia_economy,2010-04,2
economist_tunisia_economy,2010-05,3
economist_tunisia_economy,2010-07,4
economist_tunisia_economy,2010-08,3
economist_tunisia_economy,2010-09,2
economist_tunisia_economy,2010-10,1
economist_tunisia_economy,2010-11,3
economist_tunisia_economy,2010-12,2
economist_tunisia_economy,2011-01,10
economist_tunisia_economy,2011-02,11
economist_tunisia_economy,2011-03,8
economist_tunisia_economy,2011-04,6
economist_tunisia_economy,2011-05,5
economist_tunisia_economy,2011-06,3
economist_tunisia_economy,2011-07,6
economist_tunisia_economy,2011-08,1
economist_tunisia_economy,2011-09,2
economist_tunisia_economy,2011-10,1
economist_tunisia_economy,2011-11,2
economist_tunisia_economy,2012-01,2
economist_tunisia_economy,2012-02,2
economist_tunisia_economy,2012-03,1
economist_tunisia_economy,2012-04,1
economist_tunisia_economy,2012-05,1
economist_tunisia_economy,2012-06,4
economist_tunisia_economy,2012-07,1
economist_tunisia_economy,2012-09,4
economist_tunisia_economy,2012-11,1
economist_tunisia_economy,2012-12,4
economist_tunisia_economy,2013-01,1
economist_tunisia_economy,2013-02,1
economist_tunisia_economy,2013-03,2
economist_tunisia_economy,2013-04,2
economist_tunisia_economy,2013-05,3
economist_tunisia_economy,2013-06,3
economist_tunisia_economy,2013-07,1
economist_tunisia_economy,2013-08,1
economist_tunisia_economy,2013-10,4
economist_tunisia_economy,2013-11,6
economist_tunisia_economy,2013-12,3
economist_tunisia_economy,2014-01,1
economist_tunisia_economy,2014-03,2
economist_tunisia_economy,2014-06,1
economist_tunisia_economy,2014-07,1
economist_tunisia_economy,2014-08,1
economist_tunisia_economy,2014-10,1
economist_tunisia_economy,2014-11,1
economist_tunisia_economy,2014-12,2
economist_tunisia_economy,2015-01,2
economist_tunisia_economy,2015-02,2
economist_tunisia_economy,2015-03,1
economist_tunisia_economy,2015-05,1
economist_tunisia_economy,2015-06,1
economist_tunisia_economy,2015-07,2
economist_tunisia_economy,2015-08,3
economist_tunisia_economy,2015-09,1
economist_tunisia_economy,2015-10,1
economist_tunisia_economy,2015-11,3
economist_tunisia_economy,2016-01,1
economist_tunisia_economy,2016-05,1
economist_tunisia_economy,2016-08,1
economist_tunisia_economy,2016-12,1
economist_tunisia_economy,2017-01,3
economist_tunisia_economy,2017-04,1
economist_tunisia_economy,2017-05,1
economist_tunisia_economy,2017-06,1
economist_tunisia_economy,2017-08,1
economist_tunisia_economy,2017-12,1
economist_tunisia_economy,2018-01,2
economist_tunisia_economy,2018-02,2
economist_tunisia_economy,2018-06,2
economist_tunisia_economy,2018-07,2
economist_tunisia_economy,2018-08,1
economist_tunisia_economy,2018-11,1
economist_tunisia_economy,2018-12,1
economist_tunisia_economy,2019-06,1
economist_tunisia_economy,2019-09,2
economist_tunisia_economy,2019-10,1
economist_tunisia_economy,2020-02,2
economist_tunisia_economy,2020-05,2
economist_tunisia_economy,2020-06,1
economist_tunisia_economy,2020-08,1
economist_tunisia_economy,2020-11,2
economist_tunisia_economy,2020-12,2
economist_tunisia_economy,2021-01,1
economist_tunisia_economy,2021-02,1
economist_tunisia_economy,2021-04,2
economist_tunisia_economy,2021-05,3
economist_tunisia_economy,2021-06,2
economist_tunisia_economy,2021-07,1
economist_tunisia_economy,2021-08,1
economist_tunisia_economy,2021-09,1
economist_tunisia_economy,2021-10,2
economist_tunisia_economy,2021-11,1
economist_tunisia_economy,2021-12,2
economist_tunisia_economy,2022-01,3
economist_tunisia_economy,2022-02,4
economist_tunisia_economy,2022-04,5
economist_tunisia_economy,2022-06,2
economist_tunisia_economy,2022-08,4
economist_tunisia_economy,2022-09,3
economist_tunisia_economy,2022-10,2
economist_tunisia_economy,2022-11,3
economist_tunisia_economy,2023-02,1
economist_tunisia_economy,2023-03,3
economist_tunisia_economy,2023-04,4
economist_tunisia_economy,2023-05,5
economist_tunisia_economy,2023-06,4
economist_tunisia_economy,2023-07,1
economist_tunisia_economy,2023-08,2
economist_tunisia_economy,2023-11,4
economist_tunisia_economy,2024-02,2
economist_tunisia_economy,2024-03,1
economist_tunisia_economy,2024-04,1
economist_tunisia_economy,2024-05,2
economist_tunisia_economy,2024-07,2
economist_tunisia_economy,2024-08,3
economist_tunisia_economy,2024-09,2
economist_tunisia_economy,2024-10,1
economist_tunisia_economy,2024-11,4
economist_tunisia_economy,2024-12,4
economist_tunisia_economy,2025-01,2
economist_tunisia_economy,2025-02,8
economist_tunisia_economy,2025-03,3
economist_tunisia_economy,2025-04,2
economist_tunisia_economy,2025-05,4
economist_tunisia_economy,2025-06,3
economist_tunisia_economy,2025-07,6
economist_tunisia_economy,2025-08,7
economist_tunisia_economy,2025-09,8
economist_tunisia_economy,2025-10,14
economist_tunisia_economy,2025-11,6
economist_tunisia_economy,2025-12,8
economist_tunisia_economy,2026-01,16
economist_tunisia_economy,2026-02,15
economist_tunisia_economy,2026-03,13
economist_tunisia_economy,2026-04,20
economist_tunisia_economy,2026-05,22
economist_tunisia_economy,2026-06,39
economist_tunisia_economy,2026-07,56
economist_tunisia_economy,2026-08,76
economist_tunisia_economy,2026-09,50
guardian_tunisia,2004-10,1
guardian_tunisia,2004-12,1
guardian_tunisia,2005-11,1
guardian_tunisia,2005-12,1
guardian_tunisia,2006-09,1
guardian_tunisia,2006-10,1
guardian_tunisia,2006-11,1
guardian_tunisia,2007-02,1
guardian_tunisia,2007-08,1
guardian_tunisia,2007-11,1
guardian_tunisia,2008-01,1
guardian_tunisia,2008-04,1
guardian_tunisia,2008-06,1
guardian_tunisia,2008-11,1
guardian_tunisia,2008-12,2
guardian_tunisia,2009-02,1
guardian_tunisia,2009-06,1
guardian_tunisia,2009-09,3
guardian_tunisia,2009-10,5
guardian_tunisia,2009-11,1
guardian_tunisia,2009-12,1
guardian_tunisia,2010-01,6
guardian_tunisia,2010-04,1
guardian_tunisia,2010-05,1
guardian_tunisia,2010-06,1
guardian_tunisia,2010-07,2
guardian_tunisia,2010-08,1
guardian_tunisia,2010-11,1
guardian_tunisia,2010-12,8
guardian_tunisia,2011-01,100
guardian_tunisia,2011-02,81
guardian_tunisia,2011-03,38
guardian_tunisia,2011-04,13
guardian_tunisia,2011-05,25
guardian_tunisia,2011-06,18
guardian_tunisia,2011-07,3
guardian_tunisia,2011-08,5
guardian_tunisia,2011-09,3
guardian_tunisia,2011-10,72
guardian_tunisia,2011-11,11
guardian_tunisia,2011-12,7
guardian_tunisia,2012-01,13
guardian_tunisia,2012-02,8
guardian_tunisia,2012-03,3
guardian_tunisia,2012-04,7
guardian_tunisia,2012-05,6
guardian_tunisia,2012-06,7
guardian_tunisia,2012-07,5
guardian_tunisia,2012-09,14
guardian_tunisia,2012-10,7
guardian_tunisia,2012-11,1
guardian_tunisia,2012-12,6
guardian_tunisia,2013-01,2
guardian_tunisia,2013-02,24
guardian_tunisia,2013-03,7
guardian_tunisia,2013-04,9
guardian_tunisia,2013-05,7
guardian_tunisia,2013-06,9
guardian_tunisia,2013-07,12
guardian_tunisia,2013-08,2
guardian_tunisia,2013-09,5
guardian_tunisia,2013-10,6
guardian_tunisia,2013-11,1
guardian_tunisia,2013-12,3
guardian_tunisia,2014-01,4
guardian_tunisia,2014-02,1
guardian_tunisia,2014-03,2
guardian_tunisia,2014-05,1
guardian_tunisia,2014-06,2
guardian_tunisia,2014-07,2
guardian_tunisia,2014-08,3
guardian_tunisia,2014-09,2
guardian_tunisia,2014-10,8
guardian_tunisia,2014-11,6
guardian_tunisia,2014-12,7
guardian_tunisia,2015-01,2
guardian_tunisia,2015-03,44
guardian_tunisia,2015-04,1
guardian_tunisia,2015-05,4
guardian_tunisia,2015-06,79
guardian_tunisia,2015-07,52
guardian_tunisia,2015-08,5
guardian_tunisia,2015-09,3
guardian_tunisia,2015-10,7
guardian_tunisia,2015-11,6
guardian_tunisia,2015-12,12
guardian_tunisia,2016-01,10
guardian_tunisia,2016-02,2
guardian_tunisia,2016-03,4
guardian_tunisia,2016-04,1
guardian_tunisia,2016-05,2
guardian_tunisia,2016-06,7
guardian_tunisia,2016-07,6
guardian_tunisia,2016-08,2
guardian_tunisia,2016-09,2
guardian_tunisia,2016-10,4
guardian_tunisia,2016-11,1
guardian_tunisia,2016-12,10
guardian_tunisia,2017-01,13
guardian_tunisia,2017-02,13
guardian_tunisia,2017-03,2
guardian_tunisia,2017-04,2
guardian_tunisia,2017-05,4
guardian_tunisia,2017-06,1
guardian_tunisia,2017-07,2
guardian_tunisia,2017-08,3
guardian_tunisia,2017-09,3
guardian_tunisia,2017-10,2
guardian_tunisia,2017-11,3
guardian_tunisia,2017-12,1
guardian_tunisia,2018-01,14
guardian_tunisia,2018-02,2
guardian_tunisia,2018-05,1
guardian_tunisia,2018-06,2
guardian_tunisia,2018-07,2
guardian_tunisia,2018-08,1
guardian_tunisia,2018-09,2
guardian_tunisia,2018-10,2
guardian_tunisia,2018-11,2
guardian_tunisia,2018-12,2
guardian_tunisia,2019-02,1
guardian_tunisia,2019-03,2
guardian_tunisia,2019-04,5
guardian_tunisia,2019-05,1
