absent_weekday
2010-02-26
2010-04-09
2010-08-13
2010-09-09
2010-09-10
2010-11-16
2010-11-17
2010-12-07
2011-01-17
2011-01-18
2011-01-19
2011-01-20
2011-01-21
2011-01-24
2011-01-25
2011-01-26
2011-01-27
2011-01-28
2011-02-15
2011-02-28
2011-03-01
2011-03-02
2011-03-03
2011-03-04
2011-03-21
2011-07-25
2011-08-30
2011-08-31
2011-09-01
2011-11-07
2012-03-20
2012-04-09
2012-05-01
2012-07-25
2012-08-13
2012-08-20
2012-10-15
2012-10-26
2012-11-15
2012-11-16
2013-01-01
2013-01-14
2013-01-24
2013-03-20
2013-04-09
2013-05-01
2013-07-25
2013-08-08
2013-08-09
2013-08-13
2013-10-15
2013-10-16
2013-11-04
2013-11-05
2014-01-01
2014-01-13
2014-01-14
2014-03-20
2014-04-09
2014-05-01
2014-07-25
2014-07-28
2014-07-29
2014-07-30
2014-08-13
2014-10-15
2014-10-24
2015-01-01
2015-03-20
2015-05-01
2015-09-24
2015-09-25
2015-12-24
2016-01-01
2016-01-14
2016-06-17
2016-07-05
2016-07-06
2016-07-07
2016-07-25
2016-09-12
2016-09-13
2016-10-03
2016-12-12
2017-03-20
2017-05-01
2017-06-26
2017-06-27
2017-07-14
2017-07-25
2017-09-01
2017-09-21
2017-11-03
2017-12-01
2018-01-01
2018-03-20
2018-04-09
2018-05-01
2018-06-15
2018-07-25
2018-08-13
2018-08-21
2018-08-22
2018-09-11
2018-10-15
2018-11-20
2019-01-01
2019-01-14
2019-03-20
2019-04-09
2019-05-01
2019-06-04
2019-06-05
2019-06-06
2019-07-25
2019-08-12
2019-08-13
2019-10-15
2020-05-18
2020-08-13
2020-08-19
2020-08-20
2020-10-15
2020-10-29
2021-01-01
2021-01-14
2021-04-09
2021-05-12
2021-05-13
2021-05-14
2021-07-20
2021-07-21
2021-08-10
2021-08-13
2021-10-15
2021-10-18
2021-12-17
2022-05-02
2022-05-03
2022-07-25
2023-03-20
2023-04-21
2023-05-01
2023-06-19
2023-06-28
2023-06-29
2023-07-19
2023-07-25
2023-09-27
2024-01-01
2024-03-20
2024-04-09
2024-04-10
2024-04-11
2024-05-01
2024-06-03
2024-06-17
2024-07-25
2024-08-13
2024-10-15
2024-12-17
2024-12-26
2024-12-27
2025-01-01
2025-03-18
2025-03-20
2025-03-31
2025-04-01
2025-04-09
2025-05-01
2025-06-06
2025-06-09
2025-06-26
2025-07-25
2025-08-13
2025-09-04
2025-10-15
2025-12-04
2025-12-17
2026-01-01
2026-03-20
2026-04-09
2026-05-01
2026-05-27
2026-05-28
2026-06-16
2026-06-29
2026-07-01
2026-07-09
2026-08-13
2026-08-25
