source,n,pct_no_date,pct_empty_headline,dup_headlines_within_source
assabah,56292,0.0035,0.0,3664
economist_tunisia_all,1197,0.0067,0.0,26
economist_tunisia_economy,746,0.0107,0.0,6
guardian_tunisia,1204,0.0,0.0,8
ilboursa,26596,0.0,0.0,519
kapitalis,18000,0.0,0.0,39
lapresse,6741,0.0,0.0,706
leconomistmaghrebin,24698,0.0,0.0,85
nyt_economy,1100,0.0,0.0,21
tap,283,0.0,0.0,0
